province,region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
British Columbia,Alberni-Clayoquot,2020-02-15,30,,,,,
British Columbia,Alberni-Clayoquot,2020-02-16,50,,,,,
British Columbia,Alberni-Clayoquot,2020-02-17,30,7,,,-47,
British Columbia,Alberni-Clayoquot,2020-02-18,21,7,,,5,
British Columbia,Alberni-Clayoquot,2020-02-19,29,17,,,8,
British Columbia,Alberni-Clayoquot,2020-02-20,30,8,,,5,
British Columbia,Alberni-Clayoquot,2020-02-21,22,9,,,5,
British Columbia,Alberni-Clayoquot,2020-02-22,19,,,,,
British Columbia,Alberni-Clayoquot,2020-02-23,25,,,,,
British Columbia,Alberni-Clayoquot,2020-02-24,11,7,,,7,
British Columbia,Alberni-Clayoquot,2020-02-25,11,1,,,6,
British Columbia,Alberni-Clayoquot,2020-02-26,12,8,,,8,
British Columbia,Alberni-Clayoquot,2020-02-27,8,1,,,6,
British Columbia,Alberni-Clayoquot,2020-02-28,5,5,,,7,
British Columbia,Alberni-Clayoquot,2020-02-29,13,,,,,
British Columbia,Alberni-Clayoquot,2020-03-01,20,,,,,
British Columbia,Alberni-Clayoquot,2020-03-02,11,3,,,5,
British Columbia,Alberni-Clayoquot,2020-03-03,11,5,,,6,
British Columbia,Alberni-Clayoquot,2020-03-04,9,4,,,6,
British Columbia,Alberni-Clayoquot,2020-03-05,9,-4,,,6,
British Columbia,Alberni-Clayoquot,2020-03-06,9,4,,,9,
British Columbia,Alberni-Clayoquot,2020-03-07,13,,,,,
British Columbia,Alberni-Clayoquot,2020-03-08,22,,,,,
British Columbia,Alberni-Clayoquot,2020-03-09,8,9,,,2,
British Columbia,Alberni-Clayoquot,2020-03-10,10,0,,,5,
British Columbia,Alberni-Clayoquot,2020-03-11,10,15,,,10,
British Columbia,Alberni-Clayoquot,2020-03-12,17,18,,,8,
British Columbia,Alberni-Clayoquot,2020-03-13,13,24,,,5,
British Columbia,Alberni-Clayoquot,2020-03-14,12,,,,,
British Columbia,Alberni-Clayoquot,2020-03-15,21,,,,,
British Columbia,Alberni-Clayoquot,2020-03-16,19,38,,,-13,
British Columbia,Alberni-Clayoquot,2020-03-17,9,38,,,-19,
British Columbia,Alberni-Clayoquot,2020-03-18,-9,19,,,-20,
British Columbia,Alberni-Clayoquot,2020-03-19,-21,2,,,-25,
British Columbia,Alberni-Clayoquot,2020-03-20,-29,2,,,-28,
British Columbia,Alberni-Clayoquot,2020-03-21,-44,,,,-28,
British Columbia,Alberni-Clayoquot,2020-03-22,-52,,,,,
British Columbia,Alberni-Clayoquot,2020-03-23,-48,-27,,,-41,
British Columbia,Alberni-Clayoquot,2020-03-24,-47,-23,,,-46,
British Columbia,Alberni-Clayoquot,2020-03-25,-43,-20,,,-44,
British Columbia,Alberni-Clayoquot,2020-03-26,-50,-26,,,-48,
British Columbia,Alberni-Clayoquot,2020-03-27,-50,-20,,,-47,
British Columbia,Alberni-Clayoquot,2020-03-28,-59,,-41,,-40,
British Columbia,Alberni-Clayoquot,2020-03-29,-53,,,,-43,
British Columbia,Alberni-Clayoquot,2020-03-30,-51,-24,,,-47,
British Columbia,Alberni-Clayoquot,2020-03-31,-42,-26,,,-45,
British Columbia,Alberni-Clayoquot,2020-04-01,-48,-19,,,-45,
British Columbia,Alberni-Clayoquot,2020-04-02,-47,-25,,,-48,
British Columbia,Alberni-Clayoquot,2020-04-03,-43,-20,,,-46,
British Columbia,Alberni-Clayoquot,2020-04-04,-49,,-10,,-41,
British Columbia,Alberni-Clayoquot,2020-04-05,-45,,,,-47,
British Columbia,Alberni-Clayoquot,2020-04-06,-40,-26,,,-44,
British Columbia,Alberni-Clayoquot,2020-04-07,-38,-20,,,-41,
British Columbia,Alberni-Clayoquot,2020-04-08,-38,-22,,,-40,
British Columbia,Alberni-Clayoquot,2020-04-09,-25,-10,,,-40,
British Columbia,Alberni-Clayoquot,2020-04-10,-48,-16,,,-66,
British Columbia,Alberni-Clayoquot,2020-04-11,-43,,22,,-41,
British Columbia,Alberni-Clayoquot,2020-04-12,-50,,,,-40,
British Columbia,Alberni-Clayoquot,2020-04-13,-44,-29,,,-56,
British Columbia,Alberni-Clayoquot,2020-04-14,-35,-21,,,-41,
British Columbia,Alberni-Clayoquot,2020-04-15,-35,-11,,,-37,
British Columbia,Alberni-Clayoquot,2020-04-16,-34,-20,,,-36,
British Columbia,Alberni-Clayoquot,2020-04-17,-40,-20,,,-34,
British Columbia,Alberni-Clayoquot,2020-04-18,-42,,17,,-33,
British Columbia,Alberni-Clayoquot,2020-04-19,-36,,,,-41,
British Columbia,Alberni-Clayoquot,2020-04-20,-33,-20,,,-37,
British Columbia,Alberni-Clayoquot,2020-04-21,-32,-19,,,-33,
British Columbia,Alberni-Clayoquot,2020-04-22,-35,-12,,,-35,
British Columbia,Alberni-Clayoquot,2020-04-23,-34,-12,,,-35,
British Columbia,Alberni-Clayoquot,2020-04-24,-35,-9,,,-34,
British Columbia,Alberni-Clayoquot,2020-04-25,-45,,-32,,-31,
British Columbia,Alberni-Clayoquot,2020-04-26,-36,,,,,
British Columbia,Alberni-Clayoquot,2020-04-27,-30,-18,,,-36,
British Columbia,Alberni-Clayoquot,2020-04-28,-27,-10,,,-40,
British Columbia,Alberni-Clayoquot,2020-04-29,-29,-10,,,-37,
British Columbia,Alberni-Clayoquot,2020-04-30,-26,-13,,,-35,
British Columbia,Alberni-Clayoquot,2020-05-01,-30,-17,,,-32,
British Columbia,Alberni-Clayoquot,2020-05-02,-42,,-11,,-34,
British Columbia,Alberni-Clayoquot,2020-05-03,-32,,,,,
British Columbia,Alberni-Clayoquot,2020-05-04,-31,-14,,,-33,
British Columbia,Alberni-Clayoquot,2020-05-05,-22,-11,,,-33,
British Columbia,Alberni-Clayoquot,2020-05-06,-26,-7,,,-29,
British Columbia,Alberni-Clayoquot,2020-05-07,-23,-8,,,-30,
British Columbia,Alberni-Clayoquot,2020-05-08,-22,-6,,,-25,
British Columbia,Alberni-Clayoquot,2020-05-09,-21,,,,-29,
British Columbia,Alberni-Clayoquot,2020-05-11,-30,-11,,,-32,
British Columbia,Alberni-Clayoquot,2020-05-12,-24,-6,,,-33,
British Columbia,Alberni-Clayoquot,2020-05-13,-22,-7,,,-28,
British Columbia,Alberni-Clayoquot,2020-05-14,-19,-8,,,-29,
British Columbia,Alberni-Clayoquot,2020-05-15,-21,-3,,,-29,
British Columbia,Alberni-Clayoquot,2020-05-16,-33,,-20,,-34,
British Columbia,Alberni-Clayoquot,2020-05-18,,,,,-62,
British Columbia,Alberni-Clayoquot,2020-05-19,,-4,,,-28,
British Columbia,Alberni-Clayoquot,2020-05-20,-13,4,,,-26,
British Columbia,Alberni-Clayoquot,2020-05-21,-10,-3,,,-28,
British Columbia,Alberni-Clayoquot,2020-05-22,-15,-2,,,-22,
British Columbia,Alberni-Clayoquot,2020-05-23,-21,,,,-23,
British Columbia,Alberni-Clayoquot,2020-05-25,,5,,,-25,
British Columbia,Alberni-Clayoquot,2020-05-26,,-3,,,-23,
British Columbia,Alberni-Clayoquot,2020-05-27,,10,,,-23,
British Columbia,Alberni-Clayoquot,2020-05-28,1,10,,,-21,
British Columbia,Alberni-Clayoquot,2020-05-29,-11,3,,,-20,
British Columbia,Alberni-Clayoquot,2020-05-30,-14,,,,,
British Columbia,Alberni-Clayoquot,2020-06-01,,5,,,-21,
British Columbia,Alberni-Clayoquot,2020-06-02,,-1,,,-24,
British Columbia,Alberni-Clayoquot,2020-06-03,,5,,,-19,
British Columbia,Alberni-Clayoquot,2020-06-04,-5,-1,,,-20,
British Columbia,Alberni-Clayoquot,2020-06-05,-2,12,,,-20,
British Columbia,Alberni-Clayoquot,2020-06-06,0,,,,,
British Columbia,Alberni-Clayoquot,2020-06-07,17,,,,,
British Columbia,Alberni-Clayoquot,2020-06-08,7,19,,,-18,
British Columbia,Alberni-Clayoquot,2020-06-09,,8,,,-20,
British Columbia,Alberni-Clayoquot,2020-06-10,,15,,,-17,
British Columbia,Alberni-Clayoquot,2020-06-11,2,9,,,-16,
British Columbia,Alberni-Clayoquot,2020-06-12,6,12,,,-11,
British Columbia,Alberni-Clayoquot,2020-06-13,3,,,,1,
British Columbia,Alberni-Clayoquot,2020-06-14,18,,,,-1,
British Columbia,Alberni-Clayoquot,2020-06-15,12,12,,,-16,
British Columbia,Alberni-Clayoquot,2020-06-16,19,7,,,-17,
British Columbia,Alberni-Clayoquot,2020-06-17,12,13,,,-12,
British Columbia,Alberni-Clayoquot,2020-06-18,14,7,,,-15,
British Columbia,Alberni-Clayoquot,2020-06-19,20,22,,,-13,
British Columbia,Alberni-Clayoquot,2020-06-20,23,,,,4,
British Columbia,Alberni-Clayoquot,2020-06-21,40,,,,3,
British Columbia,Alberni-Clayoquot,2020-06-22,22,14,,,-22,
British Columbia,Alberni-Clayoquot,2020-06-23,19,10,,,-22,
British Columbia,Alberni-Clayoquot,2020-06-24,33,28,,,-15,
British Columbia,Alberni-Clayoquot,2020-06-25,31,20,,,-13,
British Columbia,Alberni-Clayoquot,2020-06-26,28,31,,,-13,
British Columbia,Alberni-Clayoquot,2020-06-27,39,,,,-1,
British Columbia,Alberni-Clayoquot,2020-06-28,62,,,,-4,
British Columbia,Alberni-Clayoquot,2020-06-29,54,41,,,-19,
British Columbia,Alberni-Clayoquot,2020-06-30,59,41,,,-20,
British Columbia,Alberni-Clayoquot,2020-07-01,45,43,,,-44,
British Columbia,Alberni-Clayoquot,2020-07-02,56,45,,,-19,
British Columbia,Alberni-Clayoquot,2020-07-03,52,49,,,-25,
British Columbia,Alberni-Clayoquot,2020-07-04,49,,,,0,
British Columbia,Alberni-Clayoquot,2020-07-05,67,,,,-4,
British Columbia,Alberni-Clayoquot,2020-07-06,48,41,,,-19,
British Columbia,Alberni-Clayoquot,2020-07-07,46,35,,,-18,
British Columbia,Alberni-Clayoquot,2020-07-08,40,42,,,-15,
British Columbia,Alberni-Clayoquot,2020-07-09,43,40,,,-13,
British Columbia,Alberni-Clayoquot,2020-07-10,37,32,,,-15,
British Columbia,Alberni-Clayoquot,2020-07-11,46,,,,0,
British Columbia,Alberni-Clayoquot,2020-07-12,65,,,,-7,
British Columbia,Alberni-Clayoquot,2020-07-13,62,51,,,-20,
British Columbia,Alberni-Clayoquot,2020-07-14,57,44,,,-18,
British Columbia,Alberni-Clayoquot,2020-07-15,56,51,,,-15,
British Columbia,Alberni-Clayoquot,2020-07-16,60,45,,,-17,
British Columbia,Alberni-Clayoquot,2020-07-17,52,47,,,-15,
British Columbia,Alberni-Clayoquot,2020-07-18,58,,,,1,
British Columbia,Alberni-Clayoquot,2020-07-19,84,,,,-1,
British Columbia,Alberni-Clayoquot,2020-07-20,65,55,,,-15,
British Columbia,Alberni-Clayoquot,2020-07-21,59,45,,,-19,
British Columbia,Alberni-Clayoquot,2020-07-22,62,53,,,-14,
British Columbia,Alberni-Clayoquot,2020-07-23,57,45,,,-15,
British Columbia,Alberni-Clayoquot,2020-07-24,53,48,,,-14,
British Columbia,Alberni-Clayoquot,2020-07-25,53,,,,6,
British Columbia,Alberni-Clayoquot,2020-07-26,75,,,,-4,
British Columbia,Alberni-Clayoquot,2020-07-27,74,55,,,-22,
British Columbia,Alberni-Clayoquot,2020-07-28,66,58,,,-18,
British Columbia,Alberni-Clayoquot,2020-07-29,57,59,,,-18,
British Columbia,Alberni-Clayoquot,2020-07-30,68,53,,,-18,
British Columbia,Alberni-Clayoquot,2020-07-31,61,53,,,-21,
British Columbia,Alberni-Clayoquot,2020-08-01,65,,,,-2,
British Columbia,Alberni-Clayoquot,2020-08-02,100,,,,-11,
British Columbia,Alberni-Clayoquot,2020-08-03,75,52,,,-53,
British Columbia,Alberni-Clayoquot,2020-08-04,68,56,,,-21,
British Columbia,Alberni-Clayoquot,2020-08-05,61,55,,,-15,
British Columbia,Alberni-Clayoquot,2020-08-06,67,52,,,-16,
British Columbia,Alberni-Clayoquot,2020-08-07,51,47,,,-14,
British Columbia,Alberni-Clayoquot,2020-08-08,55,,,,8,
British Columbia,Alberni-Clayoquot,2020-08-09,81,,,,-1,
British Columbia,Alberni-Clayoquot,2020-08-10,73,56,,,-21,
British Columbia,Alberni-Clayoquot,2020-08-11,75,45,,,-20,
British Columbia,Alberni-Clayoquot,2020-08-12,70,64,,,-13,
British Columbia,Alberni-Clayoquot,2020-08-13,65,58,,,-16,
British Columbia,Alberni-Clayoquot,2020-08-14,58,53,,,-11,
British Columbia,Alberni-Clayoquot,2020-08-15,63,,,,5,
British Columbia,Alberni-Clayoquot,2020-08-16,87,,,,5,
British Columbia,Alberni-Clayoquot,2020-09-11,50,34,,,-6,
British Columbia,Alberni-Clayoquot,2020-09-12,47,,,,4,
British Columbia,Alberni-Clayoquot,2020-09-13,61,,,,1,
British Columbia,Alberni-Clayoquot,2020-09-14,44,19,,,-12,
British Columbia,Alberni-Clayoquot,2020-09-15,45,24,,,-10,
British Columbia,Alberni-Clayoquot,2020-09-16,41,24,,,-6,
British Columbia,Alberni-Clayoquot,2020-09-17,42,23,,,-7,
British Columbia,Alberni-Clayoquot,2020-09-18,46,31,,,-7,
British Columbia,Alberni-Clayoquot,2020-09-19,42,,,,8,
British Columbia,Alberni-Clayoquot,2020-09-20,54,,,,8,
British Columbia,Alberni-Clayoquot,2020-09-21,40,20,,,-18,
British Columbia,Alberni-Clayoquot,2020-09-22,41,25,,,-11,
British Columbia,Alberni-Clayoquot,2020-09-23,33,29,,,-11,3
British Columbia,Alberni-Clayoquot,2020-09-24,31,18,,,-6,2
British Columbia,Alberni-Clayoquot,2020-09-25,29,20,,,-6,2
British Columbia,Alberni-Clayoquot,2020-09-26,27,,,,11,
British Columbia,Alberni-Clayoquot,2020-09-27,40,,,,3,
British Columbia,Alberni-Clayoquot,2020-09-28,40,17,,,-6,2
British Columbia,Alberni-Clayoquot,2020-09-29,42,23,,,-9,0
British Columbia,Alberni-Clayoquot,2020-09-30,38,25,,,-7,1
British Columbia,Alberni-Clayoquot,2020-10-01,35,20,,,-7,0
British Columbia,Alberni-Clayoquot,2020-10-02,29,27,,,-4,1
British Columbia,Alberni-Clayoquot,2020-10-03,34,,,,6,
British Columbia,Alberni-Clayoquot,2020-10-04,45,,,,3,
British Columbia,Alberni-Clayoquot,2020-10-05,32,29,,,-13,2
British Columbia,Alberni-Clayoquot,2020-10-06,27,14,,,-12,1
British Columbia,Bulkley-Nechako,2020-02-15,4,,,,-5,
British Columbia,Bulkley-Nechako,2020-02-17,-33,,,,-65,
British Columbia,Bulkley-Nechako,2020-02-18,4,9,,,1,-1
British Columbia,Bulkley-Nechako,2020-02-19,6,15,,,0,0
British Columbia,Bulkley-Nechako,2020-02-20,0,15,,,2,
British Columbia,Bulkley-Nechako,2020-02-21,9,6,,,3,
British Columbia,Bulkley-Nechako,2020-02-22,6,,,,-1,
British Columbia,Bulkley-Nechako,2020-02-24,-3,11,,,0,
British Columbia,Bulkley-Nechako,2020-02-25,2,6,,,0,-1
British Columbia,Bulkley-Nechako,2020-02-26,4,11,,,-1,-1
British Columbia,Bulkley-Nechako,2020-02-27,-1,7,,,-1,
British Columbia,Bulkley-Nechako,2020-02-28,7,14,,,-3,
British Columbia,Bulkley-Nechako,2020-02-29,7,,,,-5,
British Columbia,Bulkley-Nechako,2020-03-02,1,5,,,1,
British Columbia,Bulkley-Nechako,2020-03-03,-1,7,,,0,0
British Columbia,Bulkley-Nechako,2020-03-04,-5,7,,,2,1
British Columbia,Bulkley-Nechako,2020-03-05,-5,7,,,0,
British Columbia,Bulkley-Nechako,2020-03-06,8,11,,,5,
British Columbia,Bulkley-Nechako,2020-03-07,4,,,,1,
British Columbia,Bulkley-Nechako,2020-03-09,-11,5,,,1,
British Columbia,Bulkley-Nechako,2020-03-10,-1,4,,,1,0
British Columbia,Bulkley-Nechako,2020-03-11,-2,10,,,0,0
British Columbia,Bulkley-Nechako,2020-03-12,5,22,,,2,
British Columbia,Bulkley-Nechako,2020-03-13,2,27,,,4,
British Columbia,Bulkley-Nechako,2020-03-14,0,,,,-2,
British Columbia,Bulkley-Nechako,2020-03-16,-3,26,,,-13,
British Columbia,Bulkley-Nechako,2020-03-17,-9,28,,,-18,
British Columbia,Bulkley-Nechako,2020-03-18,-19,35,,,-23,
British Columbia,Bulkley-Nechako,2020-03-19,-26,18,,,-27,
British Columbia,Bulkley-Nechako,2020-03-20,-24,17,,,-29,
British Columbia,Bulkley-Nechako,2020-03-21,-35,,,,-36,
British Columbia,Bulkley-Nechako,2020-03-22,-38,,,,-33,
British Columbia,Bulkley-Nechako,2020-03-23,-39,-4,,,-37,
British Columbia,Bulkley-Nechako,2020-03-24,,-2,,,-41,
British Columbia,Bulkley-Nechako,2020-03-25,-39,5,,,-40,
British Columbia,Bulkley-Nechako,2020-03-26,-44,-6,,,-41,
British Columbia,Bulkley-Nechako,2020-03-27,-41,-1,,,-42,
British Columbia,Bulkley-Nechako,2020-03-28,-56,,-27,,-34,
British Columbia,Bulkley-Nechako,2020-03-29,,,,,-36,
British Columbia,Bulkley-Nechako,2020-03-30,,-20,,,-44,
British Columbia,Bulkley-Nechako,2020-03-31,-42,-10,,,-46,
British Columbia,Bulkley-Nechako,2020-04-01,-39,0,,,-44,
British Columbia,Bulkley-Nechako,2020-04-02,,-15,-19,,-45,
British Columbia,Bulkley-Nechako,2020-04-03,-40,-6,,,-41,
British Columbia,Bulkley-Nechako,2020-04-04,-43,,,,-40,
British Columbia,Bulkley-Nechako,2020-04-05,-39,,,,,
British Columbia,Bulkley-Nechako,2020-04-06,-37,-11,,,-46,
British Columbia,Bulkley-Nechako,2020-04-07,-38,-9,,,-42,
British Columbia,Bulkley-Nechako,2020-04-08,-37,-1,,,-41,
British Columbia,Bulkley-Nechako,2020-04-09,-13,24,-20,,-40,
British Columbia,Bulkley-Nechako,2020-04-10,-58,,,,-71,
British Columbia,Bulkley-Nechako,2020-04-11,-30,,,,-40,
British Columbia,Bulkley-Nechako,2020-04-12,,,,,-39,
British Columbia,Bulkley-Nechako,2020-04-13,,,,,-62,
British Columbia,Bulkley-Nechako,2020-04-14,-31,-3,,,-41,
British Columbia,Bulkley-Nechako,2020-04-15,-25,5,,,-40,
British Columbia,Bulkley-Nechako,2020-04-16,-26,0,,,-42,
British Columbia,Bulkley-Nechako,2020-04-17,-33,-1,,,-39,
British Columbia,Bulkley-Nechako,2020-04-18,-25,,,,-37,
British Columbia,Bulkley-Nechako,2020-04-19,-22,,,,-36,
British Columbia,Bulkley-Nechako,2020-04-20,-14,3,,,-40,
British Columbia,Bulkley-Nechako,2020-04-21,-22,-2,,,-39,
British Columbia,Bulkley-Nechako,2020-04-22,-21,10,,,-40,
British Columbia,Bulkley-Nechako,2020-04-23,-18,-1,,,-40,
British Columbia,Bulkley-Nechako,2020-04-24,-22,1,,,-39,
British Columbia,Bulkley-Nechako,2020-04-25,-32,,,,-36,
British Columbia,Bulkley-Nechako,2020-04-26,,,,,-35,
British Columbia,Bulkley-Nechako,2020-04-27,-20,-6,,,-38,
British Columbia,Bulkley-Nechako,2020-04-28,-18,4,,,-38,
British Columbia,Bulkley-Nechako,2020-04-29,,7,,,-39,
British Columbia,Bulkley-Nechako,2020-04-30,,2,,,-34,
British Columbia,Bulkley-Nechako,2020-05-01,-14,5,,,-34,
British Columbia,Bulkley-Nechako,2020-05-02,-23,,,,-34,
British Columbia,Bulkley-Nechako,2020-05-03,,,,,-39,
British Columbia,Bulkley-Nechako,2020-05-04,,4,,,-35,
British Columbia,Bulkley-Nechako,2020-05-05,-12,6,,,-33,
British Columbia,Bulkley-Nechako,2020-05-06,-14,8,,,-36,
British Columbia,Bulkley-Nechako,2020-05-07,-3,13,,,-32,
British Columbia,Bulkley-Nechako,2020-05-08,-8,7,,,-31,
British Columbia,Bulkley-Nechako,2020-05-09,-2,,,,-32,
British Columbia,Bulkley-Nechako,2020-05-10,2,,,,-34,
British Columbia,Bulkley-Nechako,2020-05-11,-6,6,,,-30,
British Columbia,Bulkley-Nechako,2020-05-12,3,6,,,-28,
British Columbia,Bulkley-Nechako,2020-05-13,-6,12,,,-30,
British Columbia,Bulkley-Nechako,2020-05-14,-4,15,,,-30,
British Columbia,Bulkley-Nechako,2020-05-15,-3,17,,,-34,
British Columbia,Bulkley-Nechako,2020-05-16,-11,,,,-36,
British Columbia,Bulkley-Nechako,2020-05-17,-12,,,,-42,
British Columbia,Bulkley-Nechako,2020-05-18,,,,,-76,
British Columbia,Bulkley-Nechako,2020-05-19,0,17,,,-30,
British Columbia,Bulkley-Nechako,2020-05-20,4,27,,,-30,
British Columbia,Bulkley-Nechako,2020-05-21,3,22,,,-29,
British Columbia,Bulkley-Nechako,2020-05-22,-2,13,,,-27,
British Columbia,Bulkley-Nechako,2020-05-23,-1,,,,-33,
British Columbia,Bulkley-Nechako,2020-05-24,-7,,,,,
British Columbia,Bulkley-Nechako,2020-05-25,-5,13,,,-31,
British Columbia,Bulkley-Nechako,2020-05-26,1,6,,,-25,
British Columbia,Bulkley-Nechako,2020-05-27,7,22,,,-25,
British Columbia,Bulkley-Nechako,2020-05-28,-2,15,,,-22,
British Columbia,Bulkley-Nechako,2020-05-29,1,17,,,-23,
British Columbia,Bulkley-Nechako,2020-05-30,-7,,,,-19,
British Columbia,Bulkley-Nechako,2020-05-31,0,,,,,
British Columbia,Bulkley-Nechako,2020-06-01,8,15,,,-21,
British Columbia,Bulkley-Nechako,2020-06-02,,18,,,-21,
British Columbia,Bulkley-Nechako,2020-06-03,-1,13,,,-20,
British Columbia,Bulkley-Nechako,2020-06-04,2,12,,,-19,
British Columbia,Bulkley-Nechako,2020-06-05,-4,10,,,-20,
British Columbia,Bulkley-Nechako,2020-06-06,-6,,,,-19,
British Columbia,Bulkley-Nechako,2020-06-08,3,15,,,-20,
British Columbia,Bulkley-Nechako,2020-06-09,2,9,,,-21,
British Columbia,Bulkley-Nechako,2020-06-10,9,21,,,-20,
British Columbia,Bulkley-Nechako,2020-06-11,,17,,,-17,
British Columbia,Bulkley-Nechako,2020-06-12,7,20,,,-19,
British Columbia,Bulkley-Nechako,2020-06-13,9,,,,-12,
British Columbia,Bulkley-Nechako,2020-06-14,,,,,-14,
British Columbia,Bulkley-Nechako,2020-06-15,12,17,,,-19,
British Columbia,Bulkley-Nechako,2020-06-16,10,19,,,-17,
British Columbia,Bulkley-Nechako,2020-06-17,9,31,,,-18,
British Columbia,Bulkley-Nechako,2020-06-18,7,20,,,-18,
British Columbia,Bulkley-Nechako,2020-06-19,5,19,,,-18,
British Columbia,Bulkley-Nechako,2020-06-20,8,,,,-15,
British Columbia,Bulkley-Nechako,2020-06-21,,,,,-12,
British Columbia,Bulkley-Nechako,2020-06-22,,11,,,-23,
British Columbia,Bulkley-Nechako,2020-06-23,9,8,,,-21,
British Columbia,Bulkley-Nechako,2020-06-24,14,24,,,-20,
British Columbia,Bulkley-Nechako,2020-06-25,7,19,,,-20,
British Columbia,Bulkley-Nechako,2020-06-26,9,20,,,-23,
British Columbia,Bulkley-Nechako,2020-06-27,3,,,,-19,
British Columbia,Bulkley-Nechako,2020-06-28,,,,,-17,
British Columbia,Bulkley-Nechako,2020-06-29,11,12,,,-29,
British Columbia,Bulkley-Nechako,2020-06-30,15,21,,,-26,
British Columbia,Bulkley-Nechako,2020-07-01,,,,,-56,
British Columbia,Bulkley-Nechako,2020-07-02,15,18,,,-31,
British Columbia,Bulkley-Nechako,2020-07-03,22,22,,,-36,
British Columbia,Bulkley-Nechako,2020-07-04,5,,,,-20,
British Columbia,Bulkley-Nechako,2020-07-05,,,,,-20,
British Columbia,Bulkley-Nechako,2020-07-06,12,11,,,-29,
British Columbia,Bulkley-Nechako,2020-07-07,16,7,,,-26,
British Columbia,Bulkley-Nechako,2020-07-08,14,9,,,-27,
British Columbia,Bulkley-Nechako,2020-07-09,12,10,,,-26,
British Columbia,Bulkley-Nechako,2020-07-10,17,9,,,-24,
British Columbia,Bulkley-Nechako,2020-07-11,11,,,,-12,
British Columbia,Bulkley-Nechako,2020-07-12,,,,,-17,
British Columbia,Bulkley-Nechako,2020-07-13,12,11,,,-24,
British Columbia,Bulkley-Nechako,2020-07-14,,9,,,-24,
British Columbia,Bulkley-Nechako,2020-07-15,14,23,,,-22,
British Columbia,Bulkley-Nechako,2020-07-16,9,13,,,-23,
British Columbia,Bulkley-Nechako,2020-07-17,14,14,,,-22,
British Columbia,Bulkley-Nechako,2020-07-18,10,,,,-17,
British Columbia,Bulkley-Nechako,2020-07-19,,,,,-14,
British Columbia,Bulkley-Nechako,2020-07-20,19,21,,,-24,
British Columbia,Bulkley-Nechako,2020-07-21,14,12,,,-24,
British Columbia,Bulkley-Nechako,2020-07-22,17,13,,,-22,
British Columbia,Bulkley-Nechako,2020-07-23,19,10,,,-25,
British Columbia,Bulkley-Nechako,2020-07-24,14,16,,,-21,
British Columbia,Bulkley-Nechako,2020-07-25,16,,,,-13,
British Columbia,Bulkley-Nechako,2020-07-26,,,,,-14,
British Columbia,Bulkley-Nechako,2020-07-27,24,19,,,-25,
British Columbia,Bulkley-Nechako,2020-07-28,21,14,,,-22,
British Columbia,Bulkley-Nechako,2020-07-29,19,21,,,-23,
British Columbia,Bulkley-Nechako,2020-07-30,28,18,,,-22,
British Columbia,Bulkley-Nechako,2020-07-31,26,19,,,-29,
British Columbia,Bulkley-Nechako,2020-08-01,8,,,,-24,
British Columbia,Bulkley-Nechako,2020-08-02,,,,,-26,
British Columbia,Bulkley-Nechako,2020-08-03,,,,,-69,
British Columbia,Bulkley-Nechako,2020-08-04,19,15,,,-27,
British Columbia,Bulkley-Nechako,2020-08-05,20,25,,,-26,
British Columbia,Bulkley-Nechako,2020-08-06,13,9,,,-28,
British Columbia,Bulkley-Nechako,2020-08-07,17,8,,,-26,
British Columbia,Bulkley-Nechako,2020-08-08,11,,,,-15,
British Columbia,Bulkley-Nechako,2020-08-09,,,,,-17,
British Columbia,Bulkley-Nechako,2020-08-10,24,12,,,-27,
British Columbia,Bulkley-Nechako,2020-08-11,21,15,,,-27,
British Columbia,Bulkley-Nechako,2020-08-12,,12,,,-27,
British Columbia,Bulkley-Nechako,2020-08-13,17,6,,,-25,
British Columbia,Bulkley-Nechako,2020-08-14,16,15,,,-24,
British Columbia,Bulkley-Nechako,2020-08-15,12,,,,-18,
British Columbia,Bulkley-Nechako,2020-08-16,,,,,-18,
British Columbia,Bulkley-Nechako,2020-09-11,18,0,,,-22,
British Columbia,Bulkley-Nechako,2020-09-12,18,,,,-15,
British Columbia,Bulkley-Nechako,2020-09-13,,,,,-16,
British Columbia,Bulkley-Nechako,2020-09-14,16,2,,,-21,
British Columbia,Bulkley-Nechako,2020-09-15,29,1,,,-20,
British Columbia,Bulkley-Nechako,2020-09-16,23,,,,-23,
British Columbia,Bulkley-Nechako,2020-09-17,17,-4,,,-20,
British Columbia,Bulkley-Nechako,2020-09-18,21,1,,,-19,
British Columbia,Bulkley-Nechako,2020-09-19,21,,,,-10,
British Columbia,Bulkley-Nechako,2020-09-20,,,,,-17,
British Columbia,Bulkley-Nechako,2020-09-21,17,1,,,-25,
British Columbia,Bulkley-Nechako,2020-09-22,18,-4,,,-21,
British Columbia,Bulkley-Nechako,2020-09-23,14,4,,,-18,1
British Columbia,Bulkley-Nechako,2020-09-24,13,-3,,,-18,1
British Columbia,Bulkley-Nechako,2020-09-25,13,-1,,,-22,0
British Columbia,Bulkley-Nechako,2020-09-26,18,,,,-11,
British Columbia,Bulkley-Nechako,2020-09-27,,,,,-13,
British Columbia,Bulkley-Nechako,2020-09-28,14,3,,,-21,2
